[+]  Real User: 4 | Predicted User: ['1'] | Algorithm: knn_manhattan_s | K Value: 1 | Match: False | Accuracy: 81.3809523809524 | Date: 11/04/2024 20:56:11 
[+]  Real User: 6 | Predicted User: [''] | Algorithm: knn_manhattan_s | K Value: 1 | Match: False | Accuracy: 81.66666666666667 | Date: 11/04/2024 20:58:11 
[+]  Real User: 6 | Predicted User: [''] | Algorithm: knn_manhattan_s | K Value: 1 | Match: False | Accuracy: 81.66666666666667 | Date: 11/04/2024 20:59:19 
[+]  Real User: 4 | Predicted User: ['25'] | Algorithm: knn_manhattan_s | K Value: 1 | Match: False | Accuracy: 81.66666666666667 | Date: 11/04/2024 20:59:35 
[+]  Real User: 6 | Predicted User: [''] | Algorithm: knn_manhattan_s | K Value: 1 | Match: False | Accuracy: 82.38095238095238 | Date: 11/04/2024 21:00:40 
[+]  Real User: 4 | Predicted User: [''] | Algorithm: knn_manhattan_s | K Value: 1 | Match: False | Accuracy: 82.13438735177864 | Date: 11/04/2024 21:09:37 
[+]  Real User: 7 | Predicted User: [''] | Algorithm: knn_manhattan_s | K Value: 1 | Match: False | Accuracy: 84.1501976284585 | Date: 11/04/2024 21:10:32 
[+]  Real User: 6 | Predicted User: [''] | Algorithm: knn_manhattan_s | K Value: 1 | Match: False | Accuracy: 81.95652173913042 | Date: 11/04/2024 21:43:57 
[+]  Real User: 9 | Predicted User: [''] | Algorithm: knn_manhattan_s | K Value: 1 | Match: False | Accuracy: 83.73188405797102 | Date: 11/04/2024 21:46:17 
[+]  Real User: 6 | Predicted User: [''] | Algorithm: knn_manhattan_s | K Value: 1 | Match: False | Accuracy: 81.19565217391305 | Date: 11/04/2024 21:48:39 
[+]  Real User: 6 | Predicted User: [''] | Algorithm: knn_manhattan_s | K Value: 1 | Match: False | Accuracy: 100.0 | Date: 11/04/2024 21:52:18 
[+]  Real User: 6 | Predicted User: [''] | Algorithm: knn_manhattan_s | K Value: 1 | Match: False | Accuracy: 100.0 | Date: 11/04/2024 21:53:27 
[+]  Real User: 11 | Predicted User: [''] | Algorithm: knn_manhattan_s | K Value: 1 | Match: False | Accuracy: 100.0 | Date: 11/04/2024 21:54:24 
[+]  Real User: 6 | Predicted User: [6] | Algorithm: knn_manhattan_s | K Value: 1 | Match: True | Accuracy: 100.0 | Date: 11/04/2024 22:41:55 
[+]  Real User: 12 | Predicted User: [6] | Algorithm: knn_manhattan_s | K Value: 1 | Match: False | Accuracy: 100.0 | Date: 11/04/2024 22:43:55 
[+]  Real User: 12 | Predicted User: [6] | Algorithm: knn_manhattan_s | K Value: 1 | Match: False | Accuracy: 100.0 | Date: 11/04/2024 22:44:18 
[+]  Real User: 13 | Predicted User: [6] | Algorithm: knn_manhattan_s | K Value: 1 | Match: False | Accuracy: 90.0 | Date: 11/04/2024 22:48:25 
[+]  Real User: 6 | Predicted User: [6] | Algorithm: knn_manhattan_s | K Value: 1 | Match: True | Accuracy: 90.0 | Date: 11/04/2024 22:50:20 
[+]  Real User: 6 | Predicted User: [6] | Algorithm: knn_manhattan_s | K Value: 1 | Match: True | Accuracy: 90.0 | Date: 12/04/2024 11:21:08 
[+]  Real User: 6 | Predicted User: [6] | Algorithm: knn_manhattan_s | K Value: 1 | Match: True | Accuracy: 90.0 | Date: 12/04/2024 11:27:12 
[+]  Real User: 6 | Predicted User: [6] | Algorithm: knn_manhattan_s | K Value: 1 | Match: True | Accuracy: 90.0 | Date: 12/04/2024 11:31:09 
[+]  Real User: 6 | Predicted User: [6] | Algorithm: knn_manhattan_s | K Value: 1 | Match: True | Accuracy: 80.0 | Date: 12/04/2024 12:53:19 
[+]  Real User: 6 | Predicted User: [6] | Algorithm: knn_manhattan_s | K Value: 1 | Match: True | Accuracy: 80.0 | Date: 12/04/2024 13:20:20 
[+]  Real User: 6 | Predicted User: [6] | Algorithm: knn_manhattan_s | K Value: 1 | Match: True | Accuracy: 80.0 | Date: 29/04/2024 15:44:12 
